facility_id,animal_id,date_collected,date_processed,sample_source,pasture_id,date_treated,anthelmintic,trichostongyle,epg,detected
JR,141,12/1/24,1/14/25,Cow,,,,0,<50,0
JR,4312,12/1/24,1/16/25,Cow,,,,0,<50,0
Slay,Red27,12/1/24,1/14/25,Cow,,,,0,<50,0
NABU,001L,8/15/24,8/22/24,cow,,4/15/24,,1,<50,1
NABU,002L,8/15/24,8/16/24,cow,,4/15/24,,1,<50,1
NABU,003L,8/15/24,8/19/24,cow,,4/15/24,noromectin+safeguard,1,<50,1
NABU,004L,8/15/24,8/23/24,cow,,4/15/24,valcor,1,<50,1
NABU,019L,8/15/24,8/22/24,cow,,4/15/24,,1,50,1
NABU,024L,8/15/24,8/19/24,cow,,4/15/24,dectomax,0,<50,0
NABU,027L,8/15/24,8/18/24,cow,,4/15/24,noromectin+safeguard,1,<50,1
NABU,029L,8/15/24,8/23/24,cow,,4/15/24,dectomax,1,50,1
NABU,033L,8/15/24,8/23/24,cow,,4/15/24,dectomax,1,<50,1
NABU,302L,8/15/24,8/23/24,cow,,4/15/24,valcor,0,<50,0
NABU,303L,8/15/24,8/24/24,cow,,4/15/24,noromectin+safeguard,1,<50,1
NABU,304L,8/15/24,8/18/24,cow,,4/15/24,dectomax,1,50,1
NABU,307L,8/15/24,8/19/24,cow,,4/15/24,,1,<50,1
NABU,308L,8/15/24,8/18/24,cow,,4/15/24,dectomax,0,<50,0
NABU,30L,8/15/24,8/23/24,cow,,4/15/24,,1,<50,1
NABU,313L,8/15/24,8/23/24,cow,,4/15/24,valcor,0,<50,0
NABU,316L,8/15/24,8/23/24,cow,,4/15/24,noromectin+safeguard,1,150,1
NABU,319L,8/15/24,8/19/24,cow,,4/15/24,noromectin+safeguard,1,<50,1
NABU,320L,8/15/24,8/19/24,cow,,4/15/24,,1,<50,1
NABU,322L,8/15/24,8/19/24,cow,,4/15/24,dectomax,1,50,1
NABU,323L,8/15/24,8/18/24,cow,,4/15/24,,0,<50,0
NABU,327L,8/15/24,8/16/24,cow,,4/15/24,,0,<50,0
NABU,328L,8/15/24,8/19/24,cow,,4/15/24,,0,<50,0
NABU,330L,8/15/24,8/16/24,cow,,4/15/24,dectomax,1,50,1
NABU,332L,8/15/24,8/18/24,cow,,4/15/24,,0,<50,0
NABU,333L,8/15/24,8/19/24,cow,,4/15/24,,0,<50,0
NABU,334L,8/15/24,8/19/24,cow,,4/15/24,dectomax,1,<50,1
NABU,335L,8/15/24,8/18/24,cow,,4/15/24,,1,<50,1
NABU,337L,8/15/24,8/19/24,cow,,4/15/24,,0,<50,0
NABU,339L,8/15/24,8/16/24,cow,,4/15/24,,1,100,1
NABU,342L,8/15/24,8/23/24,cow,,4/15/24,,0,<50,0
NABU,346L,8/15/24,8/19/24,cow,,4/15/24,,1,<50,1
NABU,347L,8/15/24,8/18/24,cow,,4/15/24,,1,50,1
NABU,348L,8/15/24,8/19/24,cow,,4/15/24,,1,<50,1
NABU,353L,8/15/24,8/23/24,cow,,4/15/24,,1,50,1
NABU,355L,8/15/24,8/22/24,cow,,4/15/24,noromectin+safeguard,1,<50,1
NABU,356L,8/15/24,8/16/24,cow,,4/15/24,valcor,0,<50,0
NABU,362L,8/15/24,8/22/24,cow,,4/15/24,,0,<50,0
NABU,367L,8/15/24,8/19/24,cow,,4/15/24,noromectin+safeguard,1,<50,1
NABU,368L,8/15/24,8/24/24,cow,,4/15/24,noromectin+safeguard,1,<50,1
NABU,371L,8/15/24,8/16/24,cow,,4/15/24,noromectin+safeguard,0,<50,0
NABU,372L,8/15/24,8/23/24,cow,,4/15/24,valcor,0,<50,0
NABU,375L,8/15/24,8/23/24,cow,,4/15/24,,0,<50,0
NABU,379L,8/15/24,8/16/24,cow,,4/15/24,noromectin+safeguard,1,50,1
NABU,390L,8/15/24,8/24/24,cow,,4/15/24,noromectin+safeguard,1,50,1
NABU,392L,8/15/24,8/22/24,cow,,4/15/24,,1,<50,1
NABU,393L,8/15/24,8/24/24,cow,,4/15/24,dectomax,0,<50,0
NABU,394L,8/15/24,8/19/24,cow,,4/15/24,valcor,1,50,1
NABU,400L,8/15/24,8/24/24,cow,,4/15/24,,1,<50,1
NABU,403L,8/15/24,8/16/24,cow,,4/15/24,dectomax,1,<50,1
NABU,406L,8/15/24,8/16/24,cow,,4/15/24,valcor,1,<50,1
NABU,407L,8/15/24,8/18/24,cow,,4/15/24,valcor,0,<50,0
NABU,409L,8/15/24,8/22/24,cow,,4/15/24,,0,<50,0
NABU,410L,8/15/24,8/18/24,cow,,4/15/24,,0,<50,0
NABU,411L,8/15/24,8/19/24,cow,,4/15/24,,1,<50,1
NABU,412L,8/15/24,8/18/24,cow,,4/15/24,valcor,1,<50,1
NABU,413L,8/15/24,8/19/24,cow,,4/15/24,dectomax,0,<50,0
NABU,416L,8/15/24,8/16/24,cow,,4/15/24,dectomax,0,<50,0
NABU,417L,8/15/24,8/24/24,cow,,4/15/24,valcor,0,<50,0
NABU,418L,8/15/24,8/23/24,cow,,4/15/24,dectomax,1,50,0
NABU,420L,8/15/24,8/19/24,cow,,4/15/24,noromectin+safeguard,1,<50,1
NABU,422L,8/15/24,8/18/24,cow,,4/15/24,,1,50,1
NABU,423L,8/15/24,8/24/24,cow,,4/15/24,valcor,0,<50,0
NABU,426L,8/15/24,8/18/24,cow,,4/15/24,noromectin+safeguard,0,<50,0
NABU,428L,8/15/24,8/23/24,cow,,4/15/24,,1,<50,0
NABU,436L,8/15/24,8/22/24,cow,,4/15/24,dectomax,1,<50,1
NABU,438L,8/15/24,8/23/24,cow,,4/15/24,valcor,0,<50,0
NABU,439L,8/15/24,8/19/24,cow,,4/15/24,dectomax,0,<50,0
NABU,441L,8/15/24,8/16/24,cow,,4/15/24,noromectin+safeguard,1,<50,1
camphill,324,6/27/24,6/28/24,cow,shade_tree,,,1,<50,1
camphill,1779,6/27/24,6/28/24,cow,cornplot,,,0,<50,0
camphill,8021,6/27/24,6/28/24,cow,shade_tree,,,1,<50,1
camphill,9091,6/27/24,6/28/24,cow,cornplot,,,1,<50,1
