epg
<50
<50
<50
<50
250
100
<50
<50
<50
50
50
50
<50
<50
50
100
50
100
150
50
<50
<50
100
100
50
<50
<50
200
<50
50
<50
50
<50
<50
300
<50
<50
<50
<50
50
50
<50
<50
100
<50
<50
<50
<50
<50
200
<50
<50
<50
50
50
50
<50
<50
50
<50
<50
<50
<50
<50
<50
<50
<50
<50
<50
<50
50
<50
<50
<50
50
<50
50
<50
<50
<50
<50
<50
<50
