eog
500
4950
4300
5250
550
1200
550
1450
6150
1100
2000
2100
6250
1900
1450
3350
1900
800
1950
11400
5350
1150
2650
2250
4550
1550
2850
8300
4400
2300
1300
1100
100
400
500
350
800
200
700
"5,700"
850
"6,900"
1800
150
750
700
650
1750
500
850
400
750
650
400
8500
850
