epg
<50
50
50
100
150
50
50
100
2150
<50
900
550
2150
100
1900
<50
350
<50
6500
100
<50
<50
50
<50
<50
<50
600
<50
400
1350
50
<50
50
<50
<50
<50
1500
<50
300
