facility,animal_id,date_collected,date_processed,sample_source,monezia,trichostrongyle,epg,detected
Piedmont_Substation_OF,8,1/29/25,2/6/25,ground ,,1,50,1
Piedmont_Substation_OF,38,1/29/25,1/30/25,ground,,1,<50,1
Piedmont_Substation_OF,37,1/29/25,1/30/25,ground,,1,<50,1
Piedmont_Substation_OF,39,1/29/25,1/30/25,ground,,1,<50,1
Piedmont_Substation_OF,36,1/29/25,1/30/25,ground,,1,1500,1
Piedmont_Substation_OF,33,1/29/25,1/30/25,ground,,1,<50,1
Piedmont_Substation_OF,35,1/29/25,1/30/25,ground,,1,300,1
Peidmont_Substation,202313,1/13/25,2/1/25,deer,,1,350,1
Peidmont_Substation,202004,1/28/25,2/1/25,deer,,1,50,1
Peidmont_Substation,202317,1/28/25,2/1/25,deer,,1,50,1
Peidmont_Substation,202008,1/16/25,2/1/25,deer,,1,100,1
Peidmont_Substation,202314,1/13/25,2/1/25,deer,,1,300,1
Piedmont_Substation_OF,40,3/7/25,3/19/25,ground,,1,150,1
Piedmont_Substation_OF,41,3/7/25,3/19/25,ground,,1,250,1
Piedmont_Substation_OF,42,3/7/25,3/19/25,ground,,1,50,1
Piedmont_Substation_OF,43,3/7/25,3/19/25,ground,,1,<50,1
Piedmont_Substation_OF,44,3/7/25,3/19/25,ground,,1,200,1
Piedmont_Substation_OF,45,3/7/25,3/19/25,ground,,1,50,1
Piedmont_Substation_OF,46,3/7/25,3/19/25,ground,,1,100,1
Piedmont_Substation_OF,47,3/7/25,3/19/25,ground,,1,<50,1
Piedmont_Substation_OF,48,3/7/25,3/21/25,ground,,1,50,1
Piedmont_Substation_OF,49,3/7/25,3/21/25,ground,,0,<50,0
Piedmont_Substation_OF,50,3/7/25,3/21/25,ground,,1,<50,1
Piedmont_Substation_OF,51,3/7/25,3/21/25,ground,,1,50,1
Piedmont_Substation_OF,52,3/7/25,3/21/25,ground,,0,<50,0
Piedmont_Substation_OF,53,3/7/25,3/21/25,ground,,1,450,1
Piedmont_Substation_OF,54,3/7/25,3/21/25,ground,,1,400,1
Piedmont_Substation_OF,55,3/7/25,3/21/25,ground,,1,800,1
Piedmont_Substation_OF,56,3/7/25,3/21/25,ground,,1,1300,1
Piedmont_Substation_OF,57,3/7/25,3/21/25,ground,,1,50,1
Piedmont_Substation_OF,58,3/7/25,3/21/25,ground,,1,50,1
Piedmont_Substation_OF,59,3/7/25,3/21/25,ground,,1,<50,1
Piedmont_Substation,52,3/7/25,3/21/25,ground,,1,1450,1
Piedmont_Substation,53,3/7/25,3/21/25,ground,,,<50,1
Piedmont_Substation,56,3/7/25,3/21/25,ground,,,400,1
Piedmont_Substation,58,3/7/25,3/21/25,ground,,,<50,1
Piedmont_Substation,59,3/7/25,3/21/25,ground,,,12100,1
Piedmont_Substation,60,3/7/25,3/21/25,ground,,,<50,0
Piedmont_Substation,54,3/7/25,3/21/25,ground,,,950,1
Piedmont_Substation,55,3/7/25,3/21/25,ground,,,<50,0
Piedmont_Substation,57,3/7/25,3/21/25,ground,,,<50,1
Piedmont_Substation,61,3/7/25,3/21/25,ground,,,<50,1
Piedmont_Substation,62,3/7/25,3/21/25,ground,,,2650,1
Piedmont_Substation,63,3/7/25,3/21/25,ground,,,<50,1
Piedmont_Substation,64,3/7/25,3/21/25,ground,,,50,1
