epg
<50
<50
<50
<50
<50
<50
<50
<50
<50
<50
<50
<50
<50
<50
<50
<50
<50
<50
50
<50
300
<50
<50
<50
<50
<50
<50
<50
<50
<50
<50
<50
<50
<50
150
<50
<50
<50
50
<50
100
50
<50
<50
<50
<50
50
100
<50
<50
<50
<50
<50
<50
<50
<50
50
<50
50
50
<50
<50
150
50
100
<50
50
<50
<50
50
<50
50
50
150
<50
50
<50
<50
<50
<50
<50
50
<50
<50
<50
<50
50
<50
<50
100
50
<50
<50
<50
<50
<50
<50
<50
<50
<50
<50
<50
