epg
<50
<50
<50
<50
<50
<50
<50
50
100
<50
150
50
50
100
50
<50
<50
<50
<50
50
<50
<50
50
<50
<50
<50
50
<50
<50
<50
<50
150
<50
<50
50
<50
<50
<50
50
<50
<50
<50
<50
<50
100
<50
<50
50
<50
50
<50
<50
<50
<50
<50
<50
<50
<50
50
50
<50
<50
50
<50
<50
<50
<50
<50
<50
<50
<50
<50
<50
<50
50
<50
50
<50
<50
<50
<50
<50
<50
<50
<50
<50
<50
<50
100
<50
<50
<50
<50
<50
<50
<50
<50
<50
<50
100
<50
<50
<50
<50
1550
<50
<50
<50
<50
<50
<50
<50
<50
<50
<50
100
50
50
<50
<50
<50
<50
<50
<50
<50
<50
