facility_id,animal_id,date_collected,date_processed,sample_source,pasture_id,date_treated,drug_used,strongyloides,monezia,trichostrongyle,epg,detected
NABU,371L,8/15/24,8/16/24,Cow,,4/15/24,noromectin+safeguard,0,0,0,49,0
NABU,379L,8/15/24,8/16/24,Cow,,4/15/24,noromectin+safeguard,0,0,1,50,1
NABU,406L,8/15/24,8/16/24,Cow,,4/15/24,valcor,0,0,1,49,1
NABU,441L,8/15/24,8/16/24,Cow,,4/15/24,noromectin+safeguard,0,0,1,49,1
NABU,027L,8/15/24,8/18/24,Cow,,4/15/24,noromectin+safeguard,0,0,1,49,1
NABU,304L,8/15/24,8/18/24,Cow,,4/15/24,dectomax,0,0,1,50,1
NABU,332L,8/15/24,8/18/24,Cow,,4/15/24,,0,0,0,49,0
NABU,410L,8/15/24,8/18/24,Cow,,4/15/24,,0,0,0,49,0
NABU,412L,8/15/24,8/18/24,Cow,,4/15/24,valcor,0,0,1,49,1
NABU,426L,8/15/24,8/18/24,Cow,,4/15/24,noromectin+safeguard,0,1,0,49,0
NABU,308L,8/15/24,8/18/24,Cow,,4/15/24,dectomax,0,0,0,49,0
NABU,323L,8/15/24,8/18/24,Cow,,4/15/24,,0,0,0,49,0
NABU,335L,8/15/24,8/18/24,Cow,,4/15/24,,0,0,1,49,1
NABU,347L,8/15/24,8/18/24,Cow,,4/15/24,,0,0,1,50,1
NABU,407L,8/15/24,8/18/24,Cow,,4/15/24,valcor,0,0,0,49,0
NABU,422L,8/15/24,8/18/24,Cow,,4/15/24,,0,0,1,50,1
NABU,003L,8/15/24,8/19/24,Cow,,4/15/24,noromectin+safeguard,0,0,1,49,1
NABU,322L,8/15/24,8/19/24,Cow,,4/15/24,dectomax,0,0,1,50,1
NABU,337L,8/15/24,8/19/24,Cow,,4/15/24,,0,0,0,49,0
NABU,413L,8/15/24,8/19/24,Cow,,4/15/24,dectomax,0,0,0,49,0
NABU,420L,8/15/24,8/19/24,Cow,,4/15/24,noromectin+safeguard,0,0,1,49,1
NABU,439L,8/15/24,8/19/24,Cow,,4/15/24,dectomax,0,0,0,49,0
