epg
100
<50
<50
<50
<50
<50
50
50
<50
200
<50
<50
250
200
50
<50
1900
<50
2100
1850
<50
1500
<50
<50
100
<50
<50
100
350
50
50
100
300
1450
<50
400
<50
12100
<50
950
<50
<50
<50
2650
<50
50
